Review,SENTIMEN
"['tambahin', 'promo', 'min']",POSITIF
"['bagus', 'banget', 'aplikasinyatapi', 'agak', 'sedikit', 'bermasalah', 'saat', 'memesan', 'barang']",POSITIF
"['kadang', 'lemot', 'banget', 'tapi', 'overall', 'sudah', 'baik']",POSITIF
"['semua', 'orang', 'sudah', 'tau', 'lah', 'sophie', 'mempermudah', 'belanja', 'dan', 'aman']",POSITIF
"['sampai', 'saat', 'ini', 'cukup', 'bagus']",POSITIF
"['terima', 'kasih', 'sudah', 'membantu', 'saya']",POSITIF
"['aplikasinya', 'si', 'oke', 'yah', 'pesenan', 'juga', 'lancar', 'aja', 'cuma', 'sekarang', 'ko', 'koin', 'hasil', 'belanjanya', 'malah', 'ditarik', 'karena', 'spam', 'padahal', 'saya', 'selalu', 'kasih', 'bintang', 'dan', 'review', 'jujur', 'bagus', 'bagus', 'ini', 'kenapa', 'ko', 'bisa', 'gini']",POSITIF
"['aplikasi', 'sangat', 'bagus', 'dan', 'banyak', 'bonus']",POSITIF
"['aku', 'suka', 'sekali']",POSITIF
"['asalamualaikum', 'ini', 'aplikasi', 'bagus', 'banget', 'tapi', 'saya', 'blom', 'tau', 'soalnya', 'hp', 'saya', 'kentang', 'jadi', 'kalo', 'login', 'nya', 'lama', 'banget', 'tapi', 'aplikasi', 'nya', 'kaga', 'salah', 'kok', 'yang', 'salah', 'cuma', 'hp', 'gw', 'doank', 'thank', ""'"", 'you']",POSITIF
"['shopee', 'menurut', 'ak', 'dh', 'bagus', 'tapi', 'masih', 'ad', 'yang', 'karena', 'gtu', 'masalah', 'koneksi', 'nya', 'jadi', 'untk', 'skarang', 'bntng', 'dlu', 'yh', 'min']",POSITIF
"['pelayanan', 'bagus']",POSITIF
"['lumayan', 'okelaa']",POSITIF
"['suka', 'pakai', 'shoppepay', 'tapi', 'akun', 'kok', 'sekarang', 'gak', 'bisa', 'dipakai', 'punyaku', 'yaada', 'masalah', 'apa', 'yatolong', 'jelaskan']",POSITIF
"['suka', 'banget', 'belanja', 'di', 'shopee', 'sering', 'dong', 'keluarin', 'voucher', 'gratis', 'ongkir']",POSITIF
"['bagus', 'aplikasi', 'nya', 'tapi', 'kadang', 'agak', 'lelet', 'aja']",POSITIF
"['pokonya', 'suka', 'banget', 'bikin', 'mudah', 'dan', 'kalo', 'masalah', 'barang', 'bagus', 'atau', 'zonk', 'ya', 'tergantung', 'kita', 'nya', 'aja', 'yang', 'nentuin', 'dan', 'dari', 'pihak', 'tokonya', 'juga', 'yang', 'ngirim', 'ada', 'harga', 'ada', 'kualitas', 'sih', 'intinya', 'mah', 'yaa']",POSITIF
"['shopee', 'sangat', 'lah', 'membantuterimaksih', 'banyak', 'shopee', 'semoga', 'semakin', 'maju']",POSITIF
"['kok', 'ga', 'ada', 'kode', 'pos', 'kota/kelurahan', 'tertentu', 'ya']",POSITIF
"['sejauh', 'ini', 'selalu', 'puas', 'sama', 'aplikasinya']",POSITIF
"['aplikasinya', 'bagus', 'pengirimanya', 'juga', 'cepat', 'tepat', 'dan', 'akurat', 'apalagi', 'di', 'tambahin', 'cod', 'untuk', 'pembayaran', 'di', 'tempat', 'makin', 'tambah', 'bagus', 'lagi', 'makasih', 'shopee']",POSITIF
"['kekurangan', 'shopee', 'shopee', 'harus', 'di', 'update', 'terus']",POSITIF
"['sangat', 'memuaskan']",POSITIF
"['kalau', 'bisa', 'shope', 'adakan', 'tabung', 'emas', 'ataw', 'tabung', 'saldo', 'khusu', 'penjual', 'yang', 'mana', 'dana', 'di', 'potong', 'untuk', 'ditabung', 'dalam', 'bentuk', 'emas', 'ataw', 'nominal', 'dari', 'setiap', 'hasil', 'penjualan', 'yang', 'sudah', 'selesai', 'jadi', 'kita', 'para', 'penjual', 'bisa', 'menabung']",POSITIF
"['memuaskan', 'selama', 'ini']",POSITIF
"['kena', 'rachun', 'shopee', 'sudah', 'keracunan', 'shopee', 'tiktokawal', 'ny', 'iseng', 'iseng', 'aja', 'belanja', 'di', 'shopee', 'tapi', 'stelah', 'semakin', 'hari', 'semakin', 'kena', 'rachun', 'karena', 'diskon', 'ny', 'itu', 'lohk', 'bikin', 'aku', 'sedihmasa', 'kaos', 'tie', 'dye', 'harga', 'nya', 'sm', 'lengan', 'panjang', 'cuma', 'rbu', 'bahkan', 'ada', 'shopi', 'mart', 'jadi', 'gk', 'perlu', 'ke', 'alfa', 'ato', 'ke', 'iulasan', 'lengkap']",POSITIF
"['produk', 'dan', 'pengiriman', 'nya', 'sesuai']",POSITIF
"['aku', 'sukanya', 'kalau', 'ada', 'coddan', 'barangnya', 'sesuai', 'gambar', 'setiap', 'aku', 'pesanno', 'tipu']",POSITIF
"['mantap', 'banyak', 'discount', '&', 'free', 'ongkir']",POSITIF
"['kalau', 'ada', 'belanja', 'onlin', 'lebih', 'mudahbelanja', 'tidak', 'perlu', 'keluar', 'rumah', 'tinggal', 'menunggu', 'saja', 'di', 'rumah', 'meski', 'beberapa', 'harisemoga', 'di', 'per', 'kilat', 'waktu', 'pengiriman', 'biar', 'orang', 'suka', 'belanja', 'onlinsukses', 'buat', 'shopee']",POSITIF
"['bagus', 'untuk', 'semua', 'orang', 'ya']",POSITIF
"['selalu', 'belanja', 'di', 'shopee', 'dan', 'alhamdulillah', 'belum', 'pernah', 'kecewa', 'dengan', 'aplikasinyahanya', 'saja', 'ingin', 'komplain', 'soal', 'ekspedisi', '&', 'di', 'balikpapan', 'kenapa', 'selalu', 'memberitahukan', 'barang', 'sudah', 'saya', 'terima', 'padahal', 'sebenarnya', 'barang', 'blm', 'ada', 'dirumah', 'saya', 'dan', 'biasanya', 'keesokan', 'hari', 'baru', 'diantaritu', 'sering', 'kali', 'teulasan', 'lengkap']",POSITIF
"['mantapbanyakin', 'gratis', 'ongkir']",POSITIF
"['love', 'shopee', 'mudah', 'berbelanja', 'di', 'shopee', 'ayok', 'kakak', 'semuanya', 'online', 'ke', 'shopee', 'banyak', 'gratis', 'ongkir', 'voucher', 'and', 'casback']",POSITIF
"['barang', 'selalu', 'sesuaitapi', 'masalah', 'ongkir', 'masih', 'terlalu', 'mahal', 'kdangan', 'sihtapi', 'aku', 'puaspengiriman', 'jg', 'cepat']",POSITIF
"['keren', 'dah', 'walupun', 'terkadang', 'shopee', 'pay', 'nya', 'sering', 'eror']",POSITIF
"['bagus', 'banget', 'nget', 'nget', 'tapi', 'ongkir', 'ny', 'suka', 'ada', 'yang', 'mahal²']",POSITIF
"['tadi', 'pagi', 'dapat', 'sms', 'ktanya', 'dapat', 'hadiah', 'uang', 'dari', 'shopee', 'ini', 'bneran', 'dari', 'shopee', 'atau', 'cuma', 'penipuan']",POSITIF
"['lumayan', 'lah', 'belanja', 'di', 'shopee', 'banyak', 'kemudahan', 'dan', 'banyak', 'voucher', 'nya', 'juga']",POSITIF
"['lumayan', 'deh', 'shopee', 'sekarang', 'sering', 'bikin', 'event', 'ya']",POSITIF
"['shopee', 'memang', 'oke', 'semua', 'pesanan', 'cepet', 'datang']",POSITIF
"['lumamayan', 'membantu', 'untuk', 'beli', 'barang', 'gak', 'usah', 'pergi', 'tingal', 'pesan', 'sajah', 'pengiriman', 'jga', 'cepatt']",POSITIF
"['sip', 'pokoknya', 'di', 'shopee']",POSITIF
"['aplikasi', 'terbaik', 'tapi', 'coba', 'deh', 'buat', 'flash', 'salenya', 'dibanyakin', 'stoknya', 'suka', 'ga', 'dapat']",POSITIF
"['banyak', 'gratis', 'ongkirnya']",POSITIF
"['shopee', 'mantap', 'kalau', 'bisa', 'harga', 'di', 'turunin']",POSITIF
"['belanja', 'ga', 'usah', 'ribet', 'di', 'shopee', 'ja']",POSITIF
"['bagus', 'bangettapi', 'kadang', 'kadang', 'loading', 'terus']",POSITIF
"['kenapa', 'di', 'aplikasi', 'saya', 'tidak', 'ada', 'spay', 'later']",POSITIF
"['sejauh', 'ini', 'puas', 'dengan', 'aplikasi', 'shoppe', 'aplikasi', 'sejuta', 'umat', 'tapi', 'kenapa', 'yang', 'cod', 'hanya', 'bisa', 'untuk', 'hari', 'saja', 'ya']",POSITIF
"['bagaimana', 'download', 'shopee', 'terbaru', 'yang', 'bisa', 'upload', 'video', 'buat', 'retur', 'barang']",POSITIF
"['kualitas', 'barang', 'sangat', 'baik']",POSITIF
"['lebih', 'mudah', 'memilih', 'smw', 'kebutuhan', 'banyak', 'gratis', 'ongkiry']",POSITIF
"['pakai', 'shopee', 'puas', 'banget', 'tapi', 'tolong', 'dong', 'shopeepaylaternya', 'kapan', 'bisa', 'di', 'gunakan', 'lagi', 'huhu']",POSITIF
"['voucher', 'gratis', 'ongkirnya', 'sekarang', 'sedikit', 'bangetdulu', 'sebulan', 'sekali', 'dapat', 'voucher', 'sekarang', 'enggak']",POSITIF
"['lebih', 'banyak', 'gratis', 'ongkir', 'nya']",POSITIF
"['bagus', 'dan', 'mantap']",POSITIF
"['kadang', 'suka', 'ngelag', 'tapi', 'rata-rata', 'oke', 'sayang', 'voucher', 'gratis', 'ongkir', 'tidak', 'sebanyak', 'dulu']",POSITIF
"['seneng', 'banget', 'bisa', 'belanja', 'di', 'shopee', 'ga', 'rugi', 'deh']",POSITIF
"['apl', 'ini', 'cukup', 'membantu', 'banget', 'bagi', 'rakyat', 'indonesia', 'apa', 'lagi', 'seperti', 'keadaan', 'dan', 'situasi', 'sperti', 'skg', 'ini', 'meskipun', 'covid-', 'sedang', 'mlanda', 'tapi', 'kita', 'tetep', 'bisa', 'belanja', 'dari', 'rumah', 'terimakasih', 'shopee']",POSITIF
"['respon', 'cepatongkir', 'harus', 'lebih', 'murah', 'lagi']",POSITIF
"['untuk', 'sekarang', 'puas', 'banget']",POSITIF
"['pelanggan', 'setia', 'sampe', 'dapat', 'aplikasi', 'shopee', 'pinjam', 'tapi', 'sayangnya', 'stelah', 'pengajuan', 'setujui', 'pd', 'hari', 'yang', 'sma', 'ketika', 'pengajuan', 'smpe', 'sekarang', 'dana', 'ga', 'cair', 'udh', 'semingguan', 'complain', 'chat', 'email', 'ga', 'ad', 'hasil', 'judulnya', 'phpin', 'nihh', 'sma', 'shopee']",POSITIF
"['shopee', 'online', 'shop', 'terpercaya', 'lh', 'pokoknya']",POSITIF
"['loadingnya', 'biasa', 'agak', 'lama', 'meski', 'pakai', 'wifi', 'ataupun', 'pakait', 'data']",POSITIF
"['mempermudah', 'belanjasayakn', 'orangnya', 'jarang', 'kemana']",POSITIF
"['sebenarnya', 'lumayan', 'bagus', 'cuma', 'semakin', 'lama', 'dibuka', 'semakin', 'lambat']",POSITIF
"['sebenernya', 'shopee', 'ini', 'bagus', 'cuman', 'saran', 'aja', 'kembaliin', 'fitur', 'di', 'wishlist', 'yang', 'ga', 'sekaligus', 'ketandain', 'biar', 'kita', 'ga', 'susah', 'ubah', 'pesanan', 'satu', 'yang', 'ada', 'di', 'wishlist', 'pas', 'mau', 'cekout', 'barang', 'tertentu', 'terus', 'cek', 'koinnya', 'jangan', 'pelitlah', 'kasih', 'koinnya', 'dikurangin', 'mulu', 'sih', 'jumlah', 'koin', 'per', 'harinya']",POSITIF
"['belanja', 'nyaman', 'belanja', 'aman']",POSITIF
"['bagus', 'dn', 'mntapi', 'cumannap', 'gunanya', 'perpanjang', 'masa', 'pembayarantiba', 'di', 'cancel', 'sndari', 'olh', 'pihak', 'sophee']",POSITIF
"['belanja', 'mudah', 'harga', 'bersaing', 'bnyak', 'voucher', 'terutama', 'free', 'ongkir', 'tapi', 'hrus', 'teliti', 'beli', 'barang', 'murah', 'heheh', 'kualitas', 'sesuai', 'harga']",POSITIF
"['suka', 'banget', 'deh']",POSITIF
"['bagusuntuk', 'saat', 'ini', 'pelayanannya', 'cukup', 'puasbarang', 'yang', 'di', 'pesan', 'sesuaicuma', 'sampainya', 'estimasi', 'pengiriman', 'agak', 'lama', 'minggu']",POSITIF
"['puas', 'belanja', 'shopee']",POSITIF
"['saya', 'suka', 'belanja', 'di', 'shopee', 'sih', 'sayangnya', 'voucher', 'free', 'ongkirnya', 'terlalu', 'minimalis', 'apalagi', 'untuk', 'barang', 'yang', 'ada', 'diluar', 'jawa', 'otomatis', 'ongkirnya', 'lebih', 'mahal', ""'"", 'lebih', 'dibanyakin', 'lagi', 'dong', 'vouchernya']",POSITIF
"['simple', 'dan', 'kompetitif']",POSITIF
"['barang', 'nya', 'baguss']",POSITIF
"['saya', 'sebagai', 'pelanggan', 'sangat', 'puas', 'dengan', 'shopee', 'tetapi', 'tolong', 'ditambahkan', 'fitur', 'saat', 'checkout', 'kita', 'masih', 'bisa', 'menggunakan', 'shopepay', 'walau', 'saldonya', 'kurang', 'dan', 'kekurangannya', 'bisa', 'dibayar', 'melalui', 'cod', 'sekian', 'dari', 'saya', 'terimakasih']",POSITIF
"['bagus', 'banget', 'aplikasi', 'shopee', 'nya']",POSITIF
"['harga', 'produk', 'bagus', 'produk', 'original']",POSITIF
"['bagus', 'shopee', 'membantuku', 'dalam', 'berjualan', 'online']",POSITIF
"['puas', 'belanja', 'di', 'shopee']",POSITIF
"['pengiriman', 'ok', 'kurirnya', 'ok', 'ok']",POSITIF
"['gratis', 'ongkirnya', 'suka', 'hilang', 'hilang', 'cuma', 'itu', 'yang', 'kurang', 'aku', 'suka', 'jadi', 'kasih', 'bintang', 'saja', 'dulu']",POSITIF
"['saya', 'suku', 'belanja', 'di', 'aplikasi', 'ini', 'cuma', 'kadang', 'kecewanya', 'pesanan', 'sama', 'barang', 'datang', 'tidak', 'sesuai', 'itu', 'aja', 'terus', 'tidak', 'ada', 'konfirmasi', 'apa', 'sukanya', 'pengiriman', 'cepet']",POSITIF
"['shopee', 'sangat', 'membantu', 'belanja', 'gak', 'harus', 'ribet', 'dan', 'kualitas', 'produk', 'nya', 'bagus', 'sesuai', 'pict', 'nya']",POSITIF
"['bagus', 'sih', 'cuman', 'ada', 'kendala', 'nya', 'yaitu', 'saya', 'sudah', 'klaim', 'voucher', 'gratis', 'ongkir', 'tapi', 'malah', 'gabisa', 'dipakai', 'voucher', 'nya']",POSITIF
"[""assalamu'alaikum"", 'warahmatullahi', 'wa', 'barokatuh', 'saya', 'nayla', 'kenapa', 'saya', 'kasih', 'bintang', 'karena', 'harusnya', 'shopee', 'ini', 'ada', 'foto', 'dari', 'pembelinya', 'agar', 'lebih', 'de', 'dan', 'lengkap']",POSITIF
"['saya', 'senang', 'pakai', 'shopee', 'selama', 'order', 'gak', 'pernah', 'barang', 'diterima', 'cacat', 'tapi', 'kenapa', 'akun', 'saya', 'di', 'nonaktifkan', 'untuk', 'cod', 'padahal', 'gak', 'pernah', 'menggagalkan', 'orderan', 'secara', 'sepihak', 'dari', 'pelapaknya', 'yang', 'barang', 'kosong']",POSITIF
"['sejak', 'ada', 'shopee', 'aku', 'kalau', 'belanja', 'jadi', 'lebih', 'mudahwalaupun', 'kasang', 'ongkos', 'kirimnya', 'lebih', 'mahal', 'daripada', 'harga', 'barang', 'yang', 'dibeli']",POSITIF
"['aplikasi', 'online', 'shop', 'ini', 'bagus', 'sih', 'bisa', 'gratis', 'ongkir', 'sampe', 'rp', 'tapi', 'sayangnya', 'gk', 'semua', 'produk', 'bisa', 'sampe', 'segitu', 'ongkirnya', 'dan', 'jasa', 'pengiriman', 'shopee', 'express', 'standard', 'juga', 'nggak', 'bisa', 'cod', 'lagi', 'sayang', 'banget', 'jadi', 'kalau', 'mau', 'cod', 'yah', 'harus', 'pakai', '&', 'yang', 'ongkirnya', 'mahal', 'banget', 'produk', 'yang', 'di', 'keulasan', 'lengkap']",POSITIF
"['sejauh', 'ini', 'hasil', 'dari', 'barang', 'yang', 'dibeli', 'bagus', 'dan', 'pelayanannya', 'cepat']",POSITIF
"['shopee', 'sekarang', 'gratis', 'ongkir', 'memerlukan', 'shopeepay', 'kalau', 'tidak', 'ada', 'shopeepay', 'ya', 'harus', 'nanggung', 'ongkir', 'sendiri', 'dulu', 'shopee', 'banyak', 'banget', 'gratis', 'ongkir', 'sekarang', 'berubah', 'mungkin', 'karena', 'zaman']",POSITIF
"['mudah', 'dan', 'cepat', 'pelayanannya', 'terimakasih', 'shopee']",POSITIF
"['tingkatkan', 'lagi', 'aplikasinya', 'sejauh', 'ini', 'sudah', 'bagus']",POSITIF
"['mantap', 'shopee', 'terbaik']",POSITIF
"['lumayan', 'bisa', 'buat', 'cari', 'pengahasilan', 'di', 'sinitapi', 'malas', 'ny', 'tiap', 'bulan', 'diperbaruin', 'terus']",POSITIF
"['sangat', 'membantu']",POSITIF
"['bagus', 'pelayanannya', 'memuaskan']",POSITIF
"['shopee', 'keren', 'membantu', 'saya', 'dalam', 'membeli', 'kebutuhan', 'secara', 'cepat']",POSITIF
"['suka', 'belanja', 'dishopee', 'terpercaya', 'dan', 'terbaik', 'deh', 'pokoknya']",POSITIF
"['hai', 'shopee', 'aku', 'suka', 'banget', 'sama', 'kamutapi', 'sejak', 'adanya', 'jasa', 'kirim', 'otomatis', 'pembeli', 'saya', 'jadi', 'nggak', 'bisa', 'bikin', 'pesanan', 'dengan', 'akhirnya', 'nggak', 'bisa', 'check', 'out', 'dehgimana', 'coba']",POSITIF
"['sekian', 'lama', 'belanja', 'di', 'shopee', 'tidak', 'pernah', 'kecewa']",POSITIF
"['shopee', 'mantap', 'pertahankan']",POSITIF
"['bagus', 'terimakasih', 'shopee']",POSITIF
"['selama', 'belanja', 'di', 'shoppe', 'alhamdulillah', 'barang', 'yang', 'datang', 'sesuai', 'pertahankan', 'terus', 'tingkat', 'pelayanannya', 'semoga', 'gak', 'nyecewain']",POSITIF
